"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","473","486","498","516","537","552","567","572","594","579","582","586","604","601","","","","","","","","","",
"","AFE","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","13116","14651","14796","16293","17579","18558","20406","","","","","","","","","","","","","17089","15106","","","16160","20055","","","","32593","26385","","","","","","","110313","110312","113763","115454","118858","121593","129093","130957","","142880","140529","132347","134145","135751","","",
"","AFW","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","9786","11343","12622","17831","","","","","","","","40027","32004","33521","29191","31161","30310","31658","31953","","31062","36402","","","","","","32144","","","","","","","","","86769","","","93734","118158","","","","112352","95827","","","","","",
"Albania","ALB","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13342","","","12551","12607","","11762","","","","","10277","11701","11409","10854","10605","10402","10343","10119","9867","9743","9723","9778","9668","",
"Andorra","AND","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","142","","","","","","","","355","","","","","","","","","","","","","","","","","","","324","343","337","356","413","432","448","433","453","433","431","436","427","419","422","406","412","411","411","",
"El mundo árabe","ARB","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","468549.90625","482418.34375","506620.40625","528109.625","546492.875","570002.5625","604203.9375","638195.6875","662400.875","696471","734188.3125","761862.6875","797504.4375","857283.5625","898789.625","949161.8125","997358.5","1054468.125","1094415.875","1271213.75","1191969.625","1251457.375","1269702","1334306.625","1373136.875","1413691.125","1455204.25","1531541","1548509.5","1554111.125","1614222.25","1673985.625","1721441.875","1734641.75","1776160.375","1838953.125","1887167.25","1913622.125","1975277.875","1956488.25","1986583.25","2068075.125","2231272.25","2266854.5","2315003","2313492.5","2302263.25","2302188.75","2347556.25","2420010","2448466","",
"Emiratos Árabes Unidos","ARE","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","806","1103","1553","2022","2727","3191","3876","4179","4474","4949","5424","4838","5290","5278","5691","6123","6793","7220","10785","11921","12526","13139","13940","14754","15449","15779","16148","16563","16889","16916","17573","18704","16323","16971","17255","17596","16523","","19503","19401","19664","20019","23440","21644","19518","19073","","","29769","24646","",
"Argentina","ARG","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","175929","181230","184508","183796","185566","195997","199256","199384","","206275","193640","200388","206535","","218520","229715","238818","252259","259579","","","","","","295488","","313764","309162","234143","221495","244412","274580","283403","","274232","279349","286782","302654","288776","","","","","","","","","","","","","",
"Armenia","ARM","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12556","","","12908","","13283","16073","15999","15926","","8666","7640","7635","6646","5904","5720","6606","","","","","","","","","","","9950","7215","8066","",
"Samoa Americana","ASM","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","350","330","328","","","302","310","","","","","395","","346","359","454","463","503","469","461","475","524","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","472","","440","460","524","419","414","390","","","","","","","","","","","","","","","","","","","","","695","","","","","","","538","675","695","747","748","755","","714","703","","825","816","","","",
"Australia","AUS","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","67114","69496","70911","73745","78390","81747","85855","87878","90668","","91386","","","102853","","90685","91252","91979","92820","","96779","97955","98526","","101035","102267","103774","104603","105469","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","24815","24834","24850","25241","25308","26374","","28492","26049","26369","27525","27561","27731","27942","28175","32806","33100","33330","33594","33796","34232","34902","33507","32059","32634","30674","31251","31716","28890","","","29129","28822","28397","29239","29044","29274","29017","29179","29743","29957","30204","30565.955078125","30533.423828125","30972.43359375","31933.224609375","33438.03125","","32234.33984375","","",
"Azerbaiyán","AZE","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26177","26708","27793","30555","31624","34201","35514","36413","36810","37469","40523","41328","41651","42533","42243","43026","44106","43971","44232","43610","43242","41221","41012","41012","40830","37516","39293","41164","40946","40160","",
"Burundi","BDI","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","4955","4980","3954","4022","4159","4199","4245","4385","4445","4623","4805","5252","5500","5760","6322","6866","7256","7534","8244","9049","9465","9582","10400","","","9475","","11597","12107","12731","14955","16651","17931","18899","21289","24452","28671","","33867","36557","40288","42052","44662","46887","47949","42497","42854","51051","51545","","51921",
"Bélgica","BEL","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","51692","","","50312","","48625","48038","46484","46227","44212","46430","45130","","40894","43958","44190","","","","","","","59830","60738","","","","","","","","","","","64278","","","65574","65668","66317","65783","66441","68576","68826","69681","70530","72269","73029","73859","","",
"Benin","BEN","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","3753","3929","4184","4450","4708","4864","5786","6326","6048","6547","7994","10381","11339","12163","13269","13452","13867","14067","13821","13693","13556","13422","13184","12924","13586","13889","15705","16043","16335","17710","19710","21766","19836","25583","28148","31103","","35938","38321","38540","42293","45010","47201","46454","49688","54463","51677","56738","53341","57002","",
"Burkina Faso","BFA","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","2370","2376","2492","2775","2813","2997","3124","3204","3263","3490","3700","3744","4153","4796","5550","6091","5780","6359","7729","8572","8903","9165","9412","10300","12754","14037","","16724","16660","17435","19007","20676","22664","23402","26938","30341","32760","35617","38983","39077","41857","48592","53505","58294","64177","69148","74747","80713","82083","87304","",
"Bangladesh","BGD","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","113673","117275","136508","155742","150267","164717","172448","174384","186144","187504","153859","149909","","171349","189884","189900","190557","191507","191399","186872","189508","","","","","","","","","","","","","","","344806","344914","364494","365925","361450","395281","458389","","","","527798","548201","574001","576887","","","",
"Bulgaria","BGR","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25503","25860","24716","22983","23344","21161","20789","19439","18762","17873","17378","16790","16346","15075","14885","14608","14489","14388","14596","","14876","17393","19225","20668","","",
"Bahrein","BHR","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","1900","1723","1916","2044","2010","2235","2345","2479","2577","2543","2736","2910","2892","2856","2906","2887","2882","3059","3092","3085","3312","3386","3536","","","","","","","","","","","","","","","","7679","8117","8413","8896","9219","9303","9332","9551","9460","9112","",
"Bahamas","BHS","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","707","751","","","1187","1294","1417","","","1218","1261","1151","1555","1565","1561","1767","","","","","","","","1581","1485","","","","2406","","","2029","","2150","","2335","2420","2333","2683","2402","1996","1634","1803","1743","1555","1611","1555","1517","","","",
